ID,Name,Rating,1stWk Box,Total Box
1182552,红海行动,9.4,30,46501
344990,唐人街探案2,9.0,99048,339765
1200486,我不是药神,9.7,4,123688
248170,复仇者联盟3：无限战争,8.9,127148,238863
346272,捉妖记2,8.2,120446,223710
341628,侏罗纪世界2,8.6,13,73435
344929,前任3：再见前任,9.2,28359,194188
341178,头号玩家,9.0,39063,139652
343720,后来的我们,8.3,56241,136106
341624,狂暴巨兽,9.0,35013,100354
1208942,超时空同居,8.7,23525,89898
71946,无问西东,8.6,13887,75430
1208122,神秘巨星,9.4,17514,74705
338463,西游记女儿国,7.8,33149,72741
341138,黑豹,8.2,42286,66249
78460,环太平洋：雷霆再起,8.0,41157,63320
1211482,熊出没·变形记,9.1,92,20858
248566,邪不压正,7.4,8,31510
1203528,摩天营救,9.2,3,32871
1212592,西虹市首富,9.3,1,暂无
1198178,动物世界,8.5,16,23297
257739,古墓丽影：源起之战,8.2,26274,49746
341897,勇敢者游戏：决战丛林,8.6,25835,49193
1217637,厉害了，我的国,9.6,53,9296
346637,幕后玩家,8.3,9515,35847
338385,超人总动员2,9.0,11,13720
248639,移动迷宫3：死亡解药,7.8,14597,31525
343136,小萝莉的猴神大叔,9.5,5409,28557
247948,星球大战：最后的绝地武士,7.8,18657,26794
1170264,芳华,9.1,29432,142299
338493,南极之恋,8.9,8047,23449
1203554,寂静之地,7.6,11310,22064
881837,起跑线,9.0,13479,21037
1207042,哆啦A梦：大雄的金银岛,8.2,15722,20894
341516,狄仁杰之四大天王,8.2,2,暂无
1139994,猛虫过江,8.1,70,6630
672130,奇迹男孩,9.2,5467,19151
828745,公牛历险记,9.1,5991,17201
1211538,祖宗十九代,7.6,4948,16985
343762,比得兔,9.0,8014,16836
1220713,新大头儿子和小头爸爸3：俄罗斯奇遇记,8.6,7,7036
368135,二代妖精之今生有幸,8.6,16915,29224
1200984,妖铃铃,6.7,25104,36316
344950,21克拉,8.3,6330,11011
341944,游侠索罗：星球大战外传,8.1,6314,10617
1204622,水形物语,8.0,6772,10542
246714,马戏之王,8.9,4802,10125
672164,幸福马上来,7.2,10,4572
1199331,厕所英雄,8.4,5855,9457
1197181,金蝉脱壳2,5.7,40,7090
342791,巴霍巴利王2：终结,8.8,4910,7676
341941,冰雪女王3：火与冰,8.4,60,4316
1216914,潜艇总动员：海底两万里,8.3,59,5921
1208008,泄密者,8.0,3426,7082
343945,解忧杂货店,8.5,14360,22316
1203310,龙虾刑警,7.6,4485,6879
338426,湮灭,7.3,3837,6607
342754,三块广告牌,8.6,1502,6498
247083,闺蜜2,6.4,4962,6434
1048288,英雄本色2018,7.9,5067,6307
345862,妖猫传,7.4,24327,53026
1204714,忌日快乐,8.3,1665,6126
342068,寻梦环游记,9.6,11869,121236
345991,暴裂无声,8.1,3587,5425
367738,完美陌生人,8.5,1841,5341
1200045,深海越狱,6.8,4071,5132
1200978,遇见你真好,8.0,3370,5101
346096,阿修罗,6.4,63,4856
344771,谜巢,6.9,3955,4950
1208748,小马宝莉大电影,8.7,1698,4681
342900,通勤营救,8.4,2608,4540
1199188,犬之岛,7.9,2605,4352
338400,神奇马戏团之动物饼干,8.3,5,2518
1209260,卧底巨星,6.6,3359,3928
345013,战神纪,6.7,1981,3806
1204720,妈妈咪鸭,8.7,2131,3723
1206839,我是你妈,8.3,2465,3680
344162,脱单告急,8.5,2301,3502
1198439,低压槽：欲望之城,7.2,1797,3489
343176,奇葩朵朵,8.1,2669,3021
1203768,浪矢解忧杂货店,8.4,1680,2876
1212533,金龟子,8.5,1085,2771
257454,第七个小矮人,8.6,1233,2549
1212787,坏爸爸,8.3,1453,2448
1213193,猫与桃花源,8.6,1709,2180
1199029,玛丽与魔女之花,8.2,597,2061
528054,青年马克思,8.5,33,50
1217650,魔镜奇缘2,7.7,93,1653
11237,阿飞正传,8.7,38,1419
1199446,泡芙小姐,7.3,1320,1934
344453,整形师·脸,6.8,175,2289
1201381,恋爱回旋,8.7,1147,1854
410641,我说的都是真的,7.8,1144,1784
1180993,花滑女王,8.6,1337,1717
1211063,太空救援,8.3,1183,1686
344742,完美有多美,7.2,608,2502
337191,妄想症,5.8,77,1824
1212413,大坏狐狸的故事,8.3,1066,1609
345963,阿里巴巴2所罗门封印,7.3,270,2203
1136547,疯狂丑小鸭,8.1,337,2155
1187542,昼颜,8.2,755,1433
883179,汪星卧底,8.5,14,820
655258,机器之血,8.7,19836,30542
343887,守信少年,,,
344043,圣诞大赢家,7.6,79,298
343944,太空熊猫英雄归来,8.0,232,1806
1132494,生存家族,8.5,604,1141
1203436,金钱世界,8.1,680,1116
1177952,狗狗的疯狂假期,8.4,368,1060
1197732,心理罪之城市之光,8.8,14110,22417
1182417,萌犬好声音,8.1,752,980
475721,24小时：末路重生,7.8,758,977
344135,淘气大侦探,8.5,15,701
319904,盛世秧歌,,,
592271,小悟空,8.5,21,581
328844,虎皮萌企鹅,8.3,630,868
1220923,我的宠物恐龙,7.4,812,863
1212982,人怕出名猪怕壮,8.2,76,838
343905,帕丁顿熊2,9.2,10459,20647
344164,脱皮爸爸,6.9,643,803
603864,战犬瑞克斯,8.3,386,670
635863,香港大营救,7.7,501,670
1217651,小公主艾薇拉与神秘王国,6.5,148,661
667783,爱在记忆消逝前,9.0,297,656
1217513,风语咒,,72,暂无
1219270,最后一球,9.0,48,395
341540,麦兵兵之夺宝联“萌”,7.3,269,606
1217789,出山记,,21,585
1212450,小猫巴克里,7.9,651,1224
329733,迷镇凶案,7.1,436,567
643506,古镇画情,,,
1225340,您一定不要错过,9.0,37,222
1197507,吃货宇宙,8.0,310,486
1211570,咕噜咕噜美人鱼2,8.4,593,1073
345000,毕业作品,7.6,314,457
1200245,第三度嫌疑人,7.7,225,452
1198834,给19岁的我自己,8.1,374,438
1212518,西北风云,6.4,289,403
246835,寻找罗麦,7.1,300,402
1215573,暗夜良人,,80,399
337093,龙在哪里？,8.6,186,2462
344323,S4侠降魔记,7.9,171,363
342568,诡梦凶铃,4.7,197,801
1212248,爱的帕斯卡,,105,328
1218718,尖叫直播,7.6,75,311
1209094,我们的青春岁月,,57,3
1200609,大世界,7.1,169,262
330115,我和神马查干,,17,暂无
1196215,路过未来,7.6,107,254
1213191,暹罗决：九神战甲,8.6,43,186
1220908,恐怖浴室,4.6,49,123
346180,青蛙总动员,7.4,201,1255
337443,至爱梵高·星空之谜,9.0,2869,6873
858598,莫斯科陷落,7.9,113,238
1220736,神秘世界历险记4,,6,暂无
1210869,午夜十二点,4.0,57,235
1207100,米花之味,8.5,82,227
558308,绝命时钟2:22,7.8,169,226
1223430,浴血广昌,,12,暂无
344080,第一夫人,7.9,125,213
1211641,美丽童年,,20,104
246596,昨日青空,,,
1189346,时空偷渡少女,,104,199
1205320,玲珑井,3.3,107,198
1218267,亲爱的，我要和别人结婚了,7.9,101,194
879019,西小河的夏天,7.7,79,192
1212344,凌晨两点半,2.4,65,187
1203156,兄弟班,8.7,39,144
836,毕业那年,5.8,62,284
1212979,小狗奶瓶,9.0,暂无,163
1132373,宇宙有爱浪漫同游,7.2,133,155
487449,心灵的阳光,,,
1183637,黄金花,8.5,57,151
1220905,毛骨悚然之红衣男孩,5.0,84,148
493549,大寒,,68,143
341674,命运速递,7.1,92,141
1218043,荒城纪,7.9,83,137
1221379,细思极恐,3.6,28,55
341323,一个人的课堂,9.1,21,137
345663,超能太阳鸭,8.1,1536,2003
642167,飞鸟历险记,8.2,107,131
1208934,因果启示录,8.4,66,131
1220835,伊阿索密码,6.4,100,131
344540,灵魂当铺之时间典当,5.4,74,128
1215629,监狱犬计划,7.3,95,125
337105,夺命来电,6.4,76,122
1220970,蓝色金鱼,,86,103
